price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size
4 tỷ,"Đường số 9, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","66,67 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,,,
"2,60 tỷ","Lê Văn Thọ, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",130 triệu/m²,2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"20,50 tỷ","Phố Nguyễn Văn Trỗi, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội","186,36 triệu/m²",10 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,6.5 m,,,110 m²
"1,80 tỷ","Lý Thường Kiệt, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",90 triệu/m²,2 phòng,2 phòng,Tây Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"1,65 tỷ","Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",110 triệu/m²,2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"1,35 tỷ","Phước Lâm, Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An","19,29 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"2,10 tỷ","Mạc Đăng Dung, Phường Hội Phú, Thành phố Pleiku, Gia Lai",20 triệu/m²,3 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,10 tỷ","Lê Văn Sĩ, Phường 14, Quận 3, Tp Hồ Chí Minh",105 triệu/m²,3 phòng,3 phòng,Đông Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"3,87 tỷ","Đường số 5, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","77,36 triệu/m²",2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,40 tỷ","Đặng Trần Côn, Phường Trà Bá, Thành phố Pleiku, Gia Lai","24,62 triệu/m²",3 phòng,2 phòng,Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"1,35 tỷ","Phước Lâm, Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An","19,29 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"2,10 tỷ","Mạc Đăng Dung, Phường Hội Phú, Thành phố Pleiku, Gia Lai",20 triệu/m²,3 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,10 tỷ","Lê Văn Sĩ, Phường 14, Quận 3, Tp Hồ Chí Minh",105 triệu/m²,3 phòng,3 phòng,Đông Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"3,87 tỷ","Đường số 5, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","77,36 triệu/m²",2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,40 tỷ","Đặng Trần Côn, Phường Trà Bá, Thành phố Pleiku, Gia Lai","24,62 triệu/m²",3 phòng,2 phòng,Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"21,50 tỷ","Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh","268,75 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,4 m,,,
"2,30 tỷ",Cập nhật 1 ngày trước,46 triệu/m²,2 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",,,,100 m²,
"3,50 tỷ","Đường Lê Hồng Phong, Phường Tân Bình, Thành phố Dĩ An, Bình Dương","46,67 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,Nhà phố liền kề,,5 m,15 m,,
"3,60 tỷ","đường số 12, KDC Vạn Phát Cồn Khương, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ","56,23 triệu/m²",2 phòng,2 phòng,Đông,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"5,20 tỷ",Cập nhật 1 ngày trước,"123,81 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,42 m²
"4,30 tỷ",Cập nhật 1 ngày trước,"58,11 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,74 m²
"2,19 tỷ",Cập nhật 1 ngày trước,"22,81 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,96 m²
"4,50 tỷ","Đường Phạm Văn Sáng, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","28,13 triệu/m²",5 phòng,,,,Sổ chung / công chứng vi bằng,"Nhà mặt phố, mặt tiền",,5 m,32 m,160 m²,
"5,95 tỷ","NGUYỄN THI KIỂU, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","106,25 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4 m,,,
"1,05 tỷ","Đường N9, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","11,67 triệu/m²",3 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"3,70 tỷ","Lý Tự Trọng, Phường Tây Sơn, Thành phố Pleiku, Gia Lai","18,50 triệu/m²",2 phòng,2 phòng,Tây Bắc,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"7,25 tỷ","Đường 2d Nối Dài, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","95,39 triệu/m²",5 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,4.2 m,18 m,,
"2,95 tỷ",Cập nhật 1 ngày trước,"1,18 triệu/m²",2 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,2500 m²,2500 m²
"4,50 tỷ",Cập nhật 1 ngày trước,"107,14 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,42 m²
"4,50 tỷ",Cập nhật 1 ngày trước,"107,14 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,42 m²
"3,68 tỷ","Đường Hoa Lan, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","57,50 triệu/m²",4 phòng,5 phòng,,3,Đang chờ sổ,Nhà phố liền kề,Nội thất đầy đủ,5 m,,,
"3,09 tỷ","Đường Nguyễn Du, Phường Bình Hòa, Thành phố Thuận An, Bình Dương","16,26 triệu/m²",9 phòng,Nhiều hơn 6 phòng,Đông,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,11 m,,,
"8,30 tỷ","Đường số 8A, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","153,70 triệu/m²",4 phòng,4 phòng,Đông,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,4.5 m,,,
"3,03 tỷ",24 Bạch Đằng ,"34,83 triệu/m²",4 phòng,,,,Đã có sổ,Nhà phố liền kề,,4 m,22 m,87 m²,87 m²
"4,49 tỷ",Cập nhật 1 ngày trước,"29,54 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,152 m²
3 tỷ,"Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",75 triệu/m²,3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,10 m,,40 m²
"7,90 tỷ","Tx 46, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","38,94 triệu/m²",1 phòng,1 phòng,Nam,1,Đã có sổ,"Nhà ngõ, hẻm",,6.5 m,,,
"3,90 tỷ",Cập nhật 1 ngày trước,"162,50 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,24 m²
"16,50 tỷ","Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","175,53 triệu/m²",1 phòng,1 phòng,Tây,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,23.6 m,,
3 tỷ,"68/286A, Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",150 triệu/m²,2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,,,
935 triệu,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","9,35 triệu/m²",3 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"5,65 tỷ","Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","102,73 triệu/m²",4 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5 m,,,
"4,49 tỷ","Đường Phạm Văn Hai, Phường 5, Quận Tân Bình, Tp Hồ Chí Minh","91,82 triệu/m²",4 phòng,3 phòng,,,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,4.1 m,12 m,,
"2,99 tỷ","Đường Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh","83,06 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,6 m,6 m,,
"6,90 tỷ","Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",69 triệu/m²,3 phòng,3 phòng,,2,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,5 m,,,
"1,10 tỷ",Cập nhật 6 giờ trước,"73,33 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,15 m²
"4,65 tỷ","Đường Gò Cát, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","79,08 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,14.7 m,,58.8 m²
"7,49 tỷ","Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",107 triệu/m²,4 phòng,4 phòng,,4,Đã có sổ,Nhà phố liền kề,Nội thất cao cấp,4.3 m,,,
"3,68 tỷ",Cập nhật 1 ngày trước,"75,72 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,12 m,80 m²,48.6 m²
"7,49 tỷ","Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",107 triệu/m²,4 phòng,4 phòng,,4,Đã có sổ,Nhà phố liền kề,Nội thất cao cấp,4.3 m,,,
"3,68 tỷ",Cập nhật 1 ngày trước,"75,72 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,12 m,80 m²,48.6 m²
"3,68 tỷ","Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","122,67 triệu/m²",2 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"5,80 tỷ","Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","90,63 triệu/m²",4 phòng,,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,16 m,,
"1,99 tỷ","Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","99,50 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,4 m,20 m²,
710 triệu,"Đường Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","8,88 triệu/m²",1 phòng,1 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,16 m,,
"4,80 tỷ","Đông Hưng Thuận 6, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","55,17 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,8.7 m,10 m,,87 m²
"5,49 tỷ","Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",61 triệu/m²,2 phòng,1 phòng,Bắc,1,Đã có sổ,"Nhà mặt phố, mặt tiền",,4.5 m,,,
"3,10 tỷ",Cập nhật 1 ngày trước,"119,23 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,26 m²
"7,85 tỷ","7, Phố Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","218,06 triệu/m²",6 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,3.4 m,,300 m²,
"9,20 tỷ","Đường Hoa Sữa, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh","296,77 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,13 m,,,
"1,85 tỷ","Đường Tân Chánh Hiệp 35, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","67,27 triệu/m²",2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà ngõ, hẻm",,5 m,,,
6 tỷ,Cập nhật 1 ngày trước,"107,14 triệu/m²",4 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,,,,56 m²
860 triệu,"Tx21, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","14,33 triệu/m²",1 phòng,1 phòng,Tây Bắc,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
6 tỷ,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","69,28 triệu/m²",5 phòng,5 phòng,Tây Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,6 m,16.5 m,,
"6,20 tỷ","Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","84,93 triệu/m²",4 phòng,,,3,Đã có sổ,"Nhà ngõ, hẻm",,4 m,18 m,,
"12,90 tỷ","Khu đô thị Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",258 triệu/m²,5 phòng,,,,Đã có sổ,Nhà phố liền kề,,4 m,12.5 m,,50 m²
"9,40 tỷ","Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh","110,59 triệu/m²",6 phòng,Nhiều hơn 6 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.9 m,,,
"5,90 tỷ","Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","56,19 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,7 m,15 m,,105 m²
"8,90 tỷ","Đường Đoàn Văn Bơ, Phường 14, Quận 4, Tp Hồ Chí Minh",89 triệu/m²,4 phòng,5 phòng,Đông Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"3,10 tỷ",Cập nhật 1 ngày trước,"119,23 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,26 m²
"7,85 tỷ","7, Phố Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","218,06 triệu/m²",6 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,3.4 m,,300 m²,
"9,20 tỷ","Đường Hoa Sữa, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh","296,77 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,13 m,,,
"1,85 tỷ","Đường Tân Chánh Hiệp 35, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","67,27 triệu/m²",2 phòng,2 phòng,Đông Nam,1,Đã có sổ,"Nhà ngõ, hẻm",,5 m,,,
6 tỷ,Cập nhật 1 ngày trước,"107,14 triệu/m²",4 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,,,,56 m²
860 triệu,"Tx21, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","14,33 triệu/m²",1 phòng,1 phòng,Tây Bắc,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
6 tỷ,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","69,28 triệu/m²",5 phòng,5 phòng,Tây Bắc,,Đã có sổ,"Nhà ngõ, hẻm",,6 m,16.5 m,,
"6,20 tỷ","Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","84,93 triệu/m²",4 phòng,,,3,Đã có sổ,"Nhà ngõ, hẻm",,4 m,18 m,,
"12,90 tỷ","Khu đô thị Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",258 triệu/m²,5 phòng,,,,Đã có sổ,Nhà phố liền kề,,4 m,12.5 m,,50 m²
"9,40 tỷ","Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh","110,59 triệu/m²",6 phòng,Nhiều hơn 6 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.9 m,,,
"5,90 tỷ","Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","56,19 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,7 m,15 m,,105 m²
